DB군,식품명,식품상세분류,1회제공량,내용량_단위,에너지(kcal),단백질(g),지방(g),탄수화물(g),나트륨(mg)
농축산물,메밀묵,곡류 및 그 제품,100,g,58,0.86,0.23,12.8,120
농축산물,멥쌀,곡류 및 그 제품,100,g,343,6.5,2,75.8,1
농축산물,친분도미,곡류 및 그 제품,100,g,348,6.3,1.5,76.6,1
농축산물,현미 죽,곡류 및 그 제품,100,g,64,1.2,0.4,15.2,1
농축산물,현미 미음,곡류 및 그 제품,100,g,19,0.4,0.1,4.4,0
농축산물,멥쌀밥,곡류 및 그 제품,100,g,373,5.2,0.1,83.7,29
농축산물,누룽지,곡류 및 그 제품,100,g,393,6.8,0.2,86.8,6
농축산물,잡곡밥,곡류 및 그 제품,100,g,150,2.83,0.38,33.76,159
농축산물,멥쌀 과자,곡류 및 그 제품,100,g,469,3.2,15.9,78.2,224
농축산물,멥쌀 국수,곡류 및 그 제품,100,g,340,9.1,1.5,72.6,"1,964"
농축산물,멥쌀떡,곡류 및 그 제품,100,g,213,3.71,0.37,48.8,261
농축산물,미숫가루,곡류 및 그 제품,100,g,398,14.52,5.48,76.17,6
농축산물,밀,곡류 및 그 제품,100,g,333,10.6,1,75.8,17
농축산물,강력밀가루,곡류 및 그 제품,100,g,334,13.59,1.11,72.89,1
농축산물,도넛가루,곡류 및 그 제품,100,g,404,8.5,6.8,73.9,778
농축산물,박력밀가루,곡류 및 그 제품,100,g,374,9.15,0.94,77.73,1
농축산물,부침가루,곡류 및 그 제품,100,g,368,9.8,0.98,75.52,786
농축산물,빵가루,곡류 및 그 제품,100,g,392,11.95,2.05,77.04,306
농축산물,중력밀가루,곡류 및 그 제품,100,g,375,10.34,1.01,76.64,1
농축산물,통밀가루,곡류 및 그 제품,100,g,365,11.9,1.6,71.5,5
농축산물,튀김가루,곡류 및 그 제품,100,g,367,7.22,0.8,78.41,876
농축산물,팬케이크가루,곡류 및 그 제품,100,g,394,7.9,4.9,75.9,735
농축산물,건빵,곡류 및 그 제품,100,g,419,9.92,8.67,75.37,457
농축산물,대추꿀약과,곡류 및 그 제품,100,g,428,4.5,16.3,65.7,18
농축산물,만주,곡류 및 그 제품,100,g,330,6.35,2.39,70.86,158
농축산물,모나카,곡류 및 그 제품,100,g,346,3.35,0.29,82.62,64
농축산물,바닐라 웨하스,곡류 및 그 제품,100,g,521,4.1,26.9,65.6,131
농축산물,비스킷,곡류 및 그 제품,100,g,489,5.7,24.93,60.34,227
농축산물,뻥튀기,곡류 및 그 제품,100,g,383,11.06,1.07,82.29,112
농축산물,사과파이,곡류 및 그 제품,100,g,471,5.5,21,64.98,207
농축산물,약과,곡류 및 그 제품,100,g,422,3.8,13.3,71.7,34
농축산물,초코볼,곡류 및 그 제품,100,g,501,4.3,22.5,70.2,54
농축산물,초코파이,곡류 및 그 제품,100,g,428,4.29,15.57,67.59,224
농축산물,땅콩버터,곡류 및 그 제품,100,g,493,8.36,20.87,67.97,346
농축산물,초코칩 쿠키,곡류 및 그 제품,100,g,494,5.92,20.55,71.38,312
농축산물,통밀 쿠키,곡류 및 그 제품,100,g,471,6.48,17.17,72.73,652
농축산물,크랙커,곡류 및 그 제품,100,g,513,7,27.8,58.8,634
농축산물,땅콩샌드,곡류 및 그 제품,100,g,524,7.66,26.24,64.23,195
농축산물,치즈샌드,곡류 및 그 제품,100,g,497,6.08,22.23,68.24,539
농축산물,국수,곡류 및 그 제품,100,g,291,7.25,0.87,60.09,395
농축산물,라면,곡류 및 그 제품,100,g,445,8.23,14.28,69.05,327
농축산물,마카로니,곡류 및 그 제품,100,g,380,12.2,0.4,77.1,2
농축산물,스파게티면,곡류 및 그 제품,100,g,365,11.78,1.28,76.64,2
농축산물,우동면,곡류 및 그 제품,100,g,164,3.33,1.25,33.09,142
농축산물,중국국수면,곡류 및 그 제품,100,g,249,8.6,1.2,55.7,410
농축산물,쫄면,곡류 및 그 제품,100,g,348,9.16,1.08,71.29,"1,697"
농축산물,칼국수면,곡류 및 그 제품,100,g,303,7.25,0.87,63.02,327
농축산물,건포도빵,곡류 및 그 제품,100,g,263,8.2,3.5,51.1,400
농축산물,곰보빵,곡류 및 그 제품,100,g,415,9.5,14.54,61.44,307
