식품명,식품기원명,식품대분류명,대표식품명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),나트륨(mg),콜레스테롤(mg)
기장,식물성,곡류,기장,100g,360,11.2,1.9,74.6,,6,
메밀,식물성,곡류,메밀,100g,363,13.64,3.38,67.84,0.3,1,0
메밀 국수,식물성,곡류,메밀 국수,100g,291,7.59,0.96,61.14,0,455,0
메밀 냉면,식물성,곡류,메밀 냉면,100g,360,10.74,1.44,73.66,0,628,0
메밀묵,식물성,곡류,메밀묵,100g,58,0.86,0.23,12.8,0,120,0
멥쌀,식물성,곡류,멥쌀,100g,343,6.5,2,75.8,0.6,1,0
돔,동물성,어패류 및 기타 수산물,돔류,100g,95,20.77,0.76,0,,,
조기,동물성,어패류 및 기타 수산물,조기류,100g,131,18,5.89,0,,,
갈치,동물성,어패류 및 기타 수산물,갈치류,100g,76,13.19,2.17,0,,,
청어,동물성,어패류 및 기타 수산물,청어,100g,177,17.6,10.96,0,,,
매퉁이,동물성,어패류 및 기타 수산물,매퉁이류,100g,96,20.85,0.84,0,,,
아귀,동물성,어패류 및 기타 수산물,아귀류,100g,53,11.9,0.29,0,,,
오징어,동물성,어패류 및 기타 수산물,오징어류,100g,65,13.5,0.75,0.34,,,
꼴뚜기,동물성,어패류 및 기타 수산물,꼴뚜기류,100g,95,19,1.25,0.82,,,
새우,동물성,어패류 및 기타 수산물,새우류,100g,87,19.48,0.53,0,,,
게,동물성,어패류 및 기타 수산물,게류,100g,80,13.85,1.91,0.82,,,
귀리,식물성,곡류,귀리,100g,380,11.4,7.35,67.71,0.32,0,0
전갱이,동물성,어패류 및 기타 수산물,전갱이류,100g,98,19.92,1.53,0,,,
고등어,동물성,어패류 및 기타 수산물,고등어류,100g,121,23.06,2.47,0,,,
가자미,동물성,어패류 및 기타 수산물,가자미류,100g,89,17.25,1.73,0,,,
달고기,동물성,어패류 및 기타 수산물,달고기류,100g,92,20.19,0.72,0,,,
대구,동물성,어패류 및 기타 수산물,대구류,100g,83,18.4,0.54,0,,,
민어,동물성,어패류 및 기타 수산물,민어,100g,89,14.31,1.21,4.16,,,
장어,동물성,어패류 및 기타 수산물,장어류,100g,110,19.23,3.07,0,,,
성대,동물성,어패류 및 기타 수산물,성대류,100g,95,14.31,1.32,5.39,,,
쏨뱅이,동물성,어패류 및 기타 수산물,쏨뱅이류,100g,86,19.23,0.52,0,,,
당면,식물성,감자 및 전분류,당면,100g,123,0.03,0.04,30.38,0,3,0
곤약,식물성,감자 및 전분류,곤약(구약나물),100g,194,3,0.1,85.3,,18,0
돼지감자,식물성,감자 및 전분류,돼지감자,100g,35,2.18,0.09,14.92,6.37,2,0
마,식물성,감자 및 전분류,마,100g,63,1.84,0.12,14.05,1,4,0
아피오스감자,식물성,감자 및 전분류,아피오스감자,100g,175,6.1,0.5,38.2,,31,
전분,식물성,감자 및 전분류,전분,100g,334,0.07,0.02,82.7,0.05,22,0
고구마,식물성,감자 및 전분류,고구마,100g,147,1.09,0.15,35.52,9.83,8,0
율무밥,식물성,곡류,율무,100g,172,7.1,2.35,30.34,0.15,2,0
감자,식물성,감자 및 전분류,감자,100g,67,2.01,0.04,15.08,0,1,0
으깬감자,식물성,감자 및 전분류,으깬감자,100g,83,1.91,0.57,17.57,1.48,302,2
찹쌀,식물성,곡류,찹쌀,100g,350,7.11,2.21,74.39,1.03,2,0
찹쌀 국수,식물성,곡류,찹쌀 국수,100g,334,8.1,0.3,74.6,,1975,
피,식물성,곡류,피,100g,376,8.5,4.6,73.9,,10,
호밀,식물성,곡류,호밀,100g,365,9.4,1.82,78.16,1.24,1,0
퀴노아,식물성,곡류,퀴노아,100g,363,9.56,3.26,72.62,1.34,0,0
잡곡,식물성,곡류,잡곡,100g,358,9.79,2.09,73.4,0.93,4,0
아마란스,식물성,곡류,아마란스,100g,383,17.09,5.94,67.27,1.65,0,0
귀리밥,식물성,곡류,귀리밥,100g,218,6.51,5.36,36.54,0.42,1,0
찹쌀밥,식물성,곡류,찹쌀밥,100g,181,3.55,1.25,38.41,0.45,1,0
멥쌀 국수,식물성,곡류,맵쌀 국수,100g,132,2.59,0.29,28.37,0,23,0
조,식물성,곡류,조,100g,372,10.78,3.74,72.57,0.79,6,0
옥수수,식물성,곡류,옥수수,100g,134,3.91,1.89,26.71,4.57,0,0
옥수수묵,식물성,곡류,옥수수묵,100g,55,1.1,0,12.6,,28,
옥수수 샐러드,식물성,곡류,옥수수 샐러드,100g,104,3.2,0.2,22.4,,330,
율무 국수,식물성,곡류,율무 국수,100g,368,13.2,1.2,74.6,,2323,
수수,식물성,곡류,수수,100g,371,11.2,3.22,72.91,0.53,4,0
보리,식물성,곡류,보리,100g,358,14.65,2.71,71.68,10.24,10,0
보리밥,식물성,곡류,보리밥,100g,144,3.58,0.73,31.72,0.08,1,0
국수,식물성,곡류,국수,100g,281,6.4,1.4,57.5,,1768,
파스타,식물성,곡류,파스타,100g,380,12.98,1.53,74.13,2.05,7,0
천마,식물성,감자 및 전분류,천마,100g,77,0.9,0,18.5,,8,
칡뿌리,식물성,감자 및 전분류,칡뿌리,100g,137,2.48,0.1,32.05,3.58,0,0
토란,식물성,감자 및 전분류,토란,100g,71,2.08,0.14,15.77,0,2,0
야콘,식물성,감자 및 전분류,야콘,100g,52,0.6,0.3,12.4,0.5,0,0
칡즙,식물성,감자 및 전분류,칡즙,100g,21,0.44,0,4.91,1.51,3,0
히카마,식물성,감자 및 전분류,히카마(얌빈),100g,44,0.68,0.06,10.36,4.59,1,0
갯기름나물,식물성,채소류,갯기름나물,100g,53,4.17,0.52,10.92,0,2,0
게걸무,식물성,채소류,게걸무,100g,57,2.84,0.2,12.43,3.24,9,0
겨자,식물성,채소류,겨자,100g,24,3.54,0.27,3.57,0,43,0
고들빼기,식물성,채소류,고들빼기,100g,29,1.6,0.5,5.8,,34,
고려엉겅퀴,식물성,채소류,고려엉겅퀴(곤드레),100g,290,28.72,5.01,49.84,1.76,4,0
고비,식물성,채소류,고비,100g,28,1.72,0.13,6.41,2.09,1,0
호두,식물성,견과 및 종실류,호두,100g,713,14.6,68.8,11.7,2.5,4,0
호박씨,식물성,견과 및 종실류,호박씨,100g,548,35.35,48.18,5.34,0,6,0
아마씨,식물성,견과 및 종실류,아마씨,100g,540,21.8,43.3,30.4,0.9,70,2
치아씨,식물성,견과 및 종실류,치아씨,100g,486,16.54,30.74,42.12,,16,0
목화씨,식물성,견과 및 종실류,목화씨,100g,506,32.59,36.29,21.9,,25,0
가시오가피,식물성,채소류,가시오가피,100g,76,5.67,0.7,15.87,2.48,1,0
가지,식물성,채소류,가지,100g,19,1.13,0.03,4.36,2.32,0,0
갓,식물성,채소류,갓,100g,36,3.5,0.2,7.3,,33,
은행,식물성,견과 및 종실류,은행,100g,186,4.31,1.86,38.25,1.91,1,0
잣,식물성,견과 및 종실류,잣,100g,630,15.96,59.28,19.38,1.33,1,0
참깨,식물성,견과 및 종실류,참깨,100g,549,20.85,44.12,26.45,0,0,0
코코넛,식물성,견과 및 종실류,코코넛,100g,660,6.88,64.53,23.65,7.35,37,0
피스타치오넛,식물성,견과 및 종실류,피스타치오넛,100g,560,20.16,45.32,27.17,7.66,1,0
피칸,식물성,견과 및 종실류,피칸,100g,691,9.17,71.97,13.86,3.97,0,0
해바라기씨,식물성,견과 및 종실류,해바라기씨,100g,589,21.93,52.26,18.58,2.68,2,0
밤,식물성,견과 및 종실류,밤,100g,146,2.9,0.1,33.3,,1,
브라질너트,식물성,견과 및 종실류,브라질너트,100g,659,14.32,67.1,11.74,2.33,3,0
삼씨,식물성,견과 및 종실류,삼씨(대마씨),100g,450,29.9,28.3,31.7,2.3,2,0
수박씨,식물성,견과 및 종실류,수박씨,100g,451,19.3,22.9,47.2,,,
아몬드,식물성,견과 및 종실류,아몬드,100g,581,23.44,49.96,20.09,6.82,6,0
연씨,식물성,견과 및 종실류,연씨,100g,81,5.9,0.5,14.9,0.5,2,0
땅콩,식물성,견과 및 종실류,땅콩,100g,560,28.43,43.11,24.62,6.26,4,0
때죽,식물성,견과 및 종실류,때죽,100g,551,13.6,44.7,31.8,,,
마름,식물성,견과 및 종실류,마름,100g,183,5.8,0.5,40.6,1.6,5,0
머루씨,식물성,견과 및 종실류,머루씨,100g,282,6.3,4.8,54,,3,
병아리콩,식물성,두류,병아리콩,100g,377,17.78,5.67,63.3,2.55,3,0
강낭콩,식물성,두류,강낭콩,100g,169,10.35,0.93,29.43,0.75,3,0
렌즈콩,식물성,두류,렌즈콩(렌틸콩),100g,150,9.79,0.88,25.39,0.49,1,0
완두,식물성,두류,완두,100g,174,13.03,1.35,27.06,2.04,3,0
개암,식물성,견과 및 종실류,개암(헤이즐넛),100g,628,14.95,60.75,16.7,4.34,0,0
도토리,식물성,견과 및 종실류,도토리,100g,230,4.4,3,46.7,,,
도토리 국수,식물성,견과 및 종실류,도토리 국수,100g,343,12.4,0.7,72.2,,517,
도토리묵,식물성,견과 및 종실류,도토리묵,100g,47,0.33,0.11,11.23,0,76,0
들깨,식물성,견과 및 종실류,들깨,100g,530,22.68,39.74,29.26,1.46,1,0
콩,식물성,두류,콩(대두),100g,199,17.87,9.05,12.4,2.19,4,0
팥,식물성,두류,팥,100g,330,20.63,0.96,58.72,0.43,10,0
쥐눈이콩,식물성,두류,쥐눈이콩(검정소립콩),100g,184,17.99,6.79,12.71,1.55,3,0
