요리명,조리방법,조리분류,열량,탄수화물,단백질,지방,나트륨,재료
새우 두부 계란찜,찌기,반찬,220,3,14,17,99,"연두부 75g, 칵테일새우 20g, 달걀 30g, 생크림 13g, 설탕 5g, 무염버터 5g,
고명
시금치 10g"
부추 콩가루 찜,찌기,반찬,215,20,14,9,240,"조선부추 50g, 날콩가루 7g,
· 저염간장 3g, 다진 대파 5g, 다진 마늘 2g, 고춧가루 2g, 요리당 2g, 참기름 2g, 참깨 5g"
방울토마토 소박이,기타,반찬,45,9,2,1,277,"방울토마토 150g, 양파 10g, 부추 10g,
 
고춧가루 4g, 멸치액젓 3g, 다진 마늘 2.5g, 매실액 2g, 설탕 2g, 물 2ml 통깨 5g"
순두부 사과 소스 오이무침,기타,반찬,75,10,4,2,22,"오이 70g, 다진 땅콩 10g,
 
순두부 40g, 사과 50g"
사과 새우 북엇국,끓이기,국&찌개,65,2,12,1,78,"북엇국
북어채 25g, 새우 10g, 사과 30g, 양파 40g,
표고버섯 20g, 물 300ml"
저염 된장으로 맛을 낸 황태해장국,끓이기,국&찌개,100,12,13,0,361,"황태해장국
황태 15g, 콩나물 30g, 무 30g, 저염된장 10g, 물 300ml 청양고추 5g, 다진 마늘 2g"
된장국,끓이기,국&찌개,20,3,2,0,260,"된장국
두부 20g, 애느타리버섯 20g, 감자 10g, 양파 10g, 대파 10g, 된장 5g, 물 300ml"
표고버섯 청경채국,끓이기,국&찌개,45,7,2,1,2441,"국물용 멸치 5g, 다시마 1장 양파 10g, 표고버섯 기둥 국간장 5g, 물 300ml
 청경채 20g, 표고버섯 20g, 다진 마늘 2g"
치커리샐러드와 올리브 마늘 소스,기타,반찬,170,13,3,12,74,"치커리 30g, 적양배추 15g, 양파 10g, 당근 5g,
 올리브유 10g, 식초 5g, 설탕 5g, 마늘 5g"
스트로베리 샐러드,기타,반찬,195,30,7,5,138,"스트로베리 샐러드
딸기 70g, 플레인요거트 85g, 양상추 70g, 메추리알 30g, 블루베리 15g, 식초 5g, 소금 5g"
